description,date,value,type,category
Corte Cabelo Outubro,29/10/2024,40.00,expense,Gastos diversos
Songs,29/10/2024,45.00,expense,Gastos diversos
CEA,29/10/2024,209.98,expense,Gastos diversos
Sorvete,29/10/2024,11.50,expense,Gastos diversos
Boticário,29/10/2024,216.80,expense,Gastos diversos
Estacionamento,29/10/2024,9.00,expense,Gastos diversos
Salário outubro,30/10/2024,3850.04,income,Salário
Gasolina,31/10/2024,189.10,expense,Gasolina
Cópia chaves motoca,31/10/2024,50.00,expense,Gastos diversos
Parcela 04 direção hidráulica,06/11/2024,170.00,expense,Gastos diversos
Café da manhã aracruz,07/11/2024,23.50,expense,Gastos diversos
Parcela Paula,07/11/2024,700.00,income,Empréstimos Paula
Parcela Paula p2 Outubro,07/11/2024,25.00,income,Empréstimos Paula
Marmita letra C,07/11/2024,44.50,expense,Gastos diversos
Gasolina Aracruz,07/11/2024,50.00,expense,Gasolina
Pedágio Aracruz,09/11/2024,4.20,expense,Gastos diversos
Gasolina Novembro,09/11/2024,177.53,expense,Gasolina
Empréstimo Anderson Novembro,09/11/2024,1000.00,income,Empréstimos Anderson
Parcela cartão de todos,09/11/2024,29.70,income,Empréstimos Mãe/Michelle
Parcela apartamento Novembro 1,10/11/2024,862.33,expense,Apartamento
Parcela apartamento Novembro 2,10/11/2024,217.61,expense,Apartamento
Cartão Santander Novembro,10/11/2024,1746.06,expense,Cartão
Cartão Picpay Novembro,10/11/2024,192.38,expense,Cartão
Não lembro,12/11/2024,42.00,expense,Gastos diversos
Clareamento dental,14/11/2024,800.00,expense,Gastos diversos
Lanche letra C,14/11/2024,38.90,expense,Gastos diversos
Pizza,14/11/2024,96.15,expense,Gastos diversos
Conta internet,14/11/2024,185.55,expense,Internet
Lanche,14/11/2024,124.60,expense,Gastos diversos
Não sei também,14/11/2024,27.00,expense,Gastos diversos
Não sei de novo,14/11/2024,12.46,expense,Gastos diversos
Gasolina,14/11/2024,50.00,expense,Gasolina
Roupas,14/11/2024,119.98,expense,Gastos diversos
Estacionamento shopping,14/11/2024,15.00,expense,Gastos diversos
Gasolina denovo,14/11/2024,202.50,expense,Gasolina
Parcela caixa novembro,14/11/2024,673.04,expense,Apartamento
Mais um que não lembro,14/11/2024,12.29,expense,Gastos diversos
Salário novembro,14/11/2024,4577.55,income,Salário
Confraternização,14/11/2024,60.00,expense,Gastos diversos
Lanche letra C,14/11/2024,22.00,expense,Gastos diversos
Não estou lembrando de nada,14/11/2024,203.00,expense,Gastos diversos
Rock burguer novembro,14/11/2024,166.62,expense,Gastos diversos
Corte cabelo dezembro,10/12/2024,40.00,expense,Gastos diversos
Parcela Paula dezembro,10/12/2024,725.00,income,Empréstimos Paula
Lanche letra C,10/12/2024,23.00,expense,Gastos diversos
Jantar letra C,10/12/2024,41.55,expense,Gastos diversos
Remédio,10/12/2024,68.59,expense,Gastos diversos
Boticário,10/12/2024,380.93,expense,Gastos diversos
Bag,10/12/2024,9.00,expense,Gastos diversos
Parcela apartamento dezembro 1,10/12/2024,217.61,expense,Apartamento
Parcela apartamento dezembro 2,10/12/2024,868.20,expense,Apartamento
Magrin,10/12/2024,50.00,income,Salário
Gasolina dezembro 1,10/12/2024,175.29,expense,Gasolina
Empréstimo Anderson dezembro,10/12/2024,1500.00,income,Empréstimos Anderson
Cartão de todos dezembro,10/12/2024,29.70,income,Empréstimos Mãe/Michelle
Milk shake vila velha,10/12/2024,56.00,expense,Gastos diversos
Estacionamento shopping VV,10/12/2024,9.50,expense,Gastos diversos
Mestre alváro/oftalmo,10/12/2024,39.00,expense,Gastos diversos
Parcela suspensão dezembro,10/12/2024,170.00,expense,Gastos diversos
Lanche letra C dezembro,10/12/2024,25.00,expense,Gastos diversos
Banho Jolie,10/12/2024,60.00,expense,Gastos diversos
Feijão tropeiro letra C,10/12/2024,30.00,expense,Gastos diversos
Café,10/12/2024,27.50,expense,Gastos diversos
Décimo terceiro dezembro,10/12/2024,2589.31,income,Salário
Cartão dezembro,10/12/2024,1692.57,expense,Cartão
Rendimentos FII's novembro,10/11/2024,305.65,income,Dividendos de FII's
Internet dezembro,17/12/2024,186.02,expense,Internet
ifood,18/12/2024,77.90,expense,Gastos diversos
rivotril,18/12/2024,30.00,expense,Gastos diversos
michelle,18/12/2024,20.00,income,Gastos diversos
lanche letra c dezembro,18/12/2024,44.00,expense,Gastos diversos
gasolina dezembro 2,18/12/2024,177.53,expense,Gasolina
bateria 72 amp,18/12/2024,480.00,expense,Gastos diversos
parcela caixa dezembro,18/12/2024,658.79,expense,Apartamento
Salário dezembro,18/12/2024,4601.69,income,Salário
mega da virada letra c,18/12/2024,50.00,expense,Gastos diversos
Jantar letra C,18/12/2024,28.00,expense,Gastos diversos
Mega sena sozinho,18/12/2024,20.00,expense,Gastos diversos
michelle,16/10/2024,29.70,income,Empréstimos Mãe/Michelle
Rendimentos picpay novembro,30/11/2024,41.53,income,Rendimentos Picpay
Rendimentos picpay dezembro,31/12/2024,35.93,income,Rendimentos Picpay
Rendimentos FII's dezembro,31/12/2024,326.79,income,Dividendos de FII's
Dividendos FII's outubro,31/10/2024,301.21,income,Dividendos de FII's
Empréstimo Paula janeiro,01/01/2025,725.00,income,Empréstimos Paula
corte cabelo janeiro,01/01/2025,40.00,expense,Gastos diversos
Parcela suspensão janeiro,01/01/2025,170.00,expense,Gastos diversos
Manutenção carro janeiro,01/01/2025,200.00,expense,Gastos diversos
Lanche minuano,01/01/2025,103.70,expense,Gastos diversos
Gasolina janeiro 1,01/01/2025,179.90,expense,Gasolina
Lanche Joilson,01/01/2025,18.50,expense,Gastos diversos
Lanche letra C,01/01/2025,29.75,expense,Gastos diversos
Peça ar condicionado,01/01/2025,120.00,expense,Gastos diversos
Empréstimo Anderson janeiro,01/01/2025,1500.00,income,Empréstimos Anderson
Mamãe e vovó,01/01/2025,29.70,income,Empréstimos Mãe/Michelle
Apartamento janeiro 1,01/01/2025,1089.28,expense,Apartamento
Cartão Janeiro,01/01/2025,1657.30,expense,Cartão
Cinema,01/01/2025,52.50,expense,Gastos diversos
Internet Janeiro,01/01/2025,185.99,expense,Internet
Lanche letra C noite,01/01/2025,42.00,expense,Gastos diversos
Lanche letra C noite 2,01/01/2025,20.00,expense,Gastos diversos
Gasolina janeiro 2,01/01/2025,265.31,expense,Gasolina
Café da manhã quitanda,01/01/2025,53.91,expense,Gastos diversos
Lanche shopping,01/01/2025,104.70,expense,Gastos diversos
Shopping lanche,01/01/2025,39.90,expense,Gastos diversos
Lanche letra C,01/01/2025,96.00,income,Gastos diversos
Açai,01/01/2025,50.00,expense,Gastos diversos
Café da manhã quitanda 2,01/01/2025,86.93,expense,Gastos diversos
Pizza aniversário mamãe,01/01/2025,96.00,expense,Gastos diversos
Parcela apartamento caixa janeiro,01/01/2025,853.85,expense,Apartamento
Iphone parte a vista,01/01/2025,1759.00,expense,Gastos diversos
americanas janeiro,01/01/2025,28.97,expense,Gastos diversos
Salário janeiro,30/01/2025,3693.58,income,Salário
Dividendos,30/01/2025,330.44,income,Dividendos de FII's
Parcela paula fevereiro,10/02/2025,725.00,income,Empréstimos Paula
Corte cabelo fevereiro,10/02/2025,40.00,expense,Gastos diversos
ifood fevereiro 1,10/02/2025,47.00,expense,Gastos diversos
Parcela direção hidraúlica,10/02/2025,170.00,expense,Gastos diversos
Lanche arcelor fevereiro,10/02/2025,15.00,expense,Gastos diversos
Gasolina fevereiro 1,10/02/2025,207.15,expense,Gasolina
Lanche arcelor fevereiro 2,10/02/2025,20.00,expense,Gastos diversos
Cartão fevereiro,10/02/2025,2138.34,expense,Cartão
Apartamento fevereiro,10/02/2025,1093.64,expense,Apartamento
Empréstimo Anderson fevereiro,10/02/2025,1500.00,income,Empréstimos Anderson
Cartão de todos,10/02/2025,29.70,income,Empréstimos Mãe/Michelle
Lanche arcelor fevereiro 3,10/02/2025,47.00,expense,Gastos diversos
Parcela Paula fevereiro 2,10/02/2025,950.00,income,Empréstimos Paula
Mega sena fevereiro,10/02/2025,9.50,expense,Gastos diversos
Internet vivo fevereiro,10/02/2025,185.74,expense,Internet
Parcela Paula fevereiro 3,10/02/2025,500.00,income,Empréstimos Paula
Capixaba cap fevereiro,10/02/2025,25.00,expense,Gastos diversos
Extrabom,10/02/2025,138.13,expense,Gastos diversos
Lanche arcelor,10/02/2025,128.01,income,Gastos diversos
ifood 2,10/02/2025,78.89,expense,Gastos diversos
Gasolina fevereiro 2,10/02/2025,192.00,expense,Gasolina
Lanche arcelor 4,10/02/2025,42.75,expense,Gastos diversos
Parcela caixa fevereiro,10/02/2025,859.79,expense,Apartamento
Salário fevereiro,10/02/2025,4752.24,income,Salário
ifood 3,10/02/2025,49.99,expense,Gastos diversos
capixaba cap 2,10/02/2025,25.00,expense,Gastos diversos
rendimentos picpay,10/02/2025,49.85,income,Rendimentos Picpay
Dividendos FII's fevereiro,10/02/2025,334.42,income,Dividendos de FII's
Compra online,10/03/2025,84.77,expense,Gastos diversos
Ajuda Alan,10/03/2025,15.00,expense,Gastos diversos
Gasolina março 1,10/03/2025,152.98,expense,Gasolina
Corte de cabeço março 1,10/03/2025,40.00,expense,Gastos diversos
Lanche aribiri março,10/03/2025,88.50,expense,Gastos diversos
Taxa caixa atrasada de fevereiro,10/03/2025,39.64,expense,Apartamento
Calebitto/maçã carrefour março 1,10/03/2025,61.97,expense,Gastos diversos
Cartão março,10/03/2025,1714.08,expense,Cartão
Apartamento março,10/03/2025,958.31,expense,Apartamento
Parcela direção hidráulica,10/03/2025,170.00,expense,Gastos diversos
Empréstimo anderson março,10/03/2025,1000.00,income,Empréstimos Anderson
Cartão de todos março,10/03/2025,29.70,income,Empréstimos Mãe/Michelle
Gasolina 2 março,10/03/2025,176.06,expense,Gasolina
Internet 1 março,10/03/2025,185.74,expense,Internet
Lanche arcelor março 1,10/03/2025,24.00,expense,Gastos diversos
Remédio março,10/03/2025,31.87,expense,Gastos diversos
Ifood março 1,10/03/2025,48.00,expense,Gastos diversos
Corrente bike anderson,10/03/2025,32.00,expense,Gastos diversos
Ifood 2 março,10/03/2025,84.90,expense,Gastos diversos
Lanche arcelor 2,10/03/2025,15.00,expense,Gastos diversos
Sinal tatuagem,10/03/2025,100.00,expense,Gastos diversos
Parcela caixa março,10/03/2025,982.16,expense,Apartamento
Corte cabelo março 2,10/03/2025,40.00,expense,Gastos diversos
Duas coxinhas Olympia,10/03/2025,14.00,expense,Gastos diversos
Salário março,10/03/2025,5110.79,income,Salário
Parcela Helena iphone,10/03/2025,500.00,income,Gastos diversos
Gasolina Marcos,10/03/2025,50.00,expense,Gastos diversos
Rendimentos Picpay março,10/03/2025,72.30,income,Rendimentos Picpay
Dividendos Fii's março,10/03/2025,331.77,income,Dividendos de FII's
Gasolina abril 1,10/04/2025,216.74,expense,Gasolina
Ifood Abril 1,10/04/2025,44.90,expense,Gastos diversos
Ovo Monique,10/04/2025,190.00,expense,Gastos diversos
Ifood abril 2,10/04/2025,49.99,expense,Gastos diversos
PAR referente a 2024,10/04/2025,13947.91,income,Salário
Capixaba cap abril 1,10/04/2025,30.00,expense,Gastos diversos
Lanche letra C abril 1,10/04/2025,21.00,expense,Gastos diversos
Pix Lena,10/04/2025,110.00,expense,Gastos diversos
Esqueci abril 1,10/04/2025,59.50,expense,Gastos diversos
Tatto segunda metade,10/04/2025,135.00,expense,Gastos diversos
Empréstimo Anderson Abril,10/04/2025,1500.00,income,Empréstimos Anderson
Apartamento Abril,10/04/2025,961.27,expense,Apartamento
Cartão Abril,10/04/2025,1973.84,expense,Cartão
Internet Claro Abril,10/04/2025,259.79,expense,Internet
Esqueci abril 2,10/04/2025,146.40,expense,Gastos diversos
Parcela direção hidraúlica,10/04/2025,170.00,expense,Gastos diversos
Lanche letra C abril 2,10/04/2025,95.75,expense,Gastos diversos
Gasolina abril 2,10/04/2025,100.00,expense,Gasolina
Ifood Abril 3,10/04/2025,128.23,expense,Gastos diversos
Corte de cabelo + capixaba cap Abril,10/04/2025,60.00,expense,Gastos diversos
Parcela caixa abril,10/04/2025,1116.25,expense,Apartamento
Salário abril,10/04/2025,4330.61,income,Salário
Gasolina Anderson compras + parafuso SOS,10/04/2025,21.80,expense,Gastos diversos
Rendimentos picpay Abril,10/04/2025,139.13,income,Rendimentos Picpay
Dividendos FII's abril,10/04/2025,339.55,income,Dividendos de FII's
Saque aniversário FGTS,10/05/2025,2131.89,income,Salário
Gasolina Maio 1,10/05/2025,147.79,expense,Gasolina
Lanche amt maio,10/05/2025,8.00,expense,Gastos diversos
Parcela direção hidráulica maio,10/05/2025,170.00,expense,Gastos diversos
Internet maio,10/05/2025,203.37,expense,Internet
Cartão Santander Maio,10/05/2025,2110.96,expense,Cartão
Cartão Picpay Maio,10/05/2025,416.66,expense,Cartão
Apartamento Maio,10/05/2025,964.17,expense,Apartamento
Sem parar maio 1,10/05/2025,81.18,expense,Gastos diversos
Ifood maio 1,10/05/2025,55.98,expense,Gastos diversos
Corte cabelo maio,10/05/2025,40.00,expense,Gastos diversos
Lena celular,10/05/2025,2000.00,income,Celular Lena
Parcela caixa maio,10/05/2025,1216.32,expense,Apartamento
Férias com abono,10/05/2025,7935.19,income,Salário
Salário maio,10/05/2025,4257.53,income,Salário
Empréstimo funsset plano V,10/05/2025,1739.72,income,Salário
Rendimentos Picpay maio,10/05/2025,134.16,income,Rendimentos Picpay
Dividendos FII's maio,10/05/2025,347.61,income,Dividendos de FII's
Dividendos Ações maio,10/05/2025,52.04,income,Dividendos de Ações
Empréstimo Anderson Maio,10/05/2025,1000.00,income,Empréstimos Anderson
Não lembro junho 1,10/06/2025,138.00,income,Gastos diversos
Parcela Anderson,10/06/2025,1000.00,income,Empréstimos Anderson
Parcela michelle junho,10/06/2025,147.30,income,Empréstimos Mãe/Michelle
Internet claro junho,10/06/2025,287.42,expense,Internet
Parcela apartamento junho,10/06/2025,968.06,expense,Apartamento
Cartões junho,10/06/2025,4349.04,expense,Cartão
Conta atrasada vivo ano passado,10/06/2025,229.69,expense,Internet
Parcela Lena junho,10/06/2025,385.00,income,Gastos diversos
Não lembro junho 2,10/06/2025,200.00,income,Gastos diversos
Não lembro junho 3,10/06/2025,60.00,income,Empréstimos Mãe/Michelle
Corte de cabelo junho,10/06/2025,40.00,expense,Gastos diversos
Não lembro junho 4,10/06/2025,20.32,expense,Gastos diversos
Não lembro junho 5,10/06/2025,43.94,expense,Gastos diversos
Python master,10/06/2025,297.00,expense,Gastos diversos
Parcela caixa junho,10/06/2025,1253.82,expense,Apartamento
Salário junho,10/06/2025,4992.63,income,Salário
Gasolina pix junho,10/06/2025,101.71,expense,Gasolina
Rendimentos Picpay junho,10/06/2025,91.26,income,Rendimentos Picpay
Dividendos FII's junho,10/06/2025,365.66,income,Dividendos de FII's
Gasolina Julho,10/07/2025,101.71,expense,Gasolina
Não lembro julho 1,10/07/2025,20.00,expense,Gastos diversos
Helena,10/07/2025,50.00,income,Helena
Não lembro julho 2,10/07/2025,42.00,expense,Gastos diversos
Anderson julho,10/07/2025,1453.00,income,Empréstimos Anderson
IPVA 2024 e 2025 de Anderson,10/07/2025,452.88,expense,Empréstimos Anderson
Cartão picpay julho michelle,10/07/2025,226.25,income,Empréstimos Mãe/Michelle
Cartões julho,10/07/2025,3528.59,expense,Cartão
Apartamento julho,10/07/2025,972.41,expense,Apartamento
Internet julho,10/07/2025,365.53,income,Internet
michelle julho,10/07/2025,200.00,income,Empréstimos Mãe/Michelle
Corte de cabelo julho 1,10/07/2025,40.00,expense,Gastos diversos
Lanche  amt julho 1,10/07/2025,13.00,expense,Gastos diversos
Caixa julho,10/07/2025,1350.00,expense,Apartamento
Salário seco julho,10/07/2025,3183.91,income,Salário
Restituição IRPF,10/07/2025,1510.48,income,Salário
Rendimentos picpay julho,10/07/2025,87.98,income,Rendimentos Picpay
Mega sena Fabin,10/08/2025,6.00,expense,Gastos diversos
Capixaba cap,10/08/2025,20.00,expense,Gastos diversos
Contribuição férias 2025,10/08/2025,200.00,expense,Gastos diversos
Parcela Lena Agosto,10/08/2025,455.00,income,Helena
Corte cabelo Agosto,10/08/2025,40.00,expense,Gastos diversos
Michelle Agosto,10/08/2025,455.64,income,Empréstimos Mãe/Michelle
Parcela Anderson Agosto,10/08/2025,1000.00,income,Empréstimos Anderson
Empréstimo Lucas primo,10/08/2025,800.00,expense,Gastos diversos
Michelle Agosto 2,10/08/2025,600.00,income,Empréstimos Mãe/Michelle
Internet Agosto,10/08/2025,364.99,expense,Internet
Cartões Agosto,10/08/2025,3196.56,expense,Cartão
Apartamento agosto,10/08/2025,1031.19,expense,Apartamento
Lanches Agosto,10/08/2025,23.00,income,Gastos diversos
Anderson adiantamento setembro,10/08/2025,1000.00,income,Empréstimos Anderson
Sobra na caixa,10/08/2025,12.42,income,Gastos diversos
Parcela Caixa agosto,10/08/2025,1402.77,expense,Apartamento
Licenciamento e multa agosto,10/08/2025,330.57,expense,Gastos diversos
Salário agosto,10/08/2025,5787.21,income,Salário
Rendimentos cofrinhos picpay agosto,10/08/2025,85.05,income,Rendimentos Picpay
Dividendos Agosto,10/08/2025,397.47,income,Dividendos de Ações
Mega sena amt 1,10/09/2025,21.00,expense,Gastos diversos
Parcela Anderson setembro,10/09/2025,1000.00,income,Empréstimos Anderson
Parcela lena setembro,10/09/2025,455.00,income,Helena
Peça astra,10/09/2025,27.00,expense,Gastos diversos
Michelle/Mãe,10/09/2025,919.49,income,Empréstimos Mãe/Michelle
Internet setembro,10/09/2025,364.62,expense,Internet
Cartões setembro,10/09/2025,3886.82,expense,Cartão
Apartamento setembro,10/09/2025,2456.34,expense,Apartamento
Diversos AMT,10/09/2025,195.00,expense,Gastos diversos
Parcela Lucas,10/09/2025,420.00,income,Gastos diversos
Salário setembro,10/09/2025,3855.54,income,Salário
Rendimentos picpay setembro,10/09/2025,92.28,income,Rendimentos Picpay
Rendimentos ações setembro,10/09/2025,108.17,income,Dividendos de Ações
Gastos diversos AMT + pix,10/10/2025,139.50,expense,Gastos diversos
Renovação carteira AB + EAR,10/10/2025,533.08,expense,Gastos diversos
Mãe/michelle,10/10/2025,1181.79,income,Empréstimos Mãe/Michelle
Helena outubro,10/10/2025,455.00,income,Helena
Anderson Outubro e novembro,10/10/2025,2000.00,income,Empréstimos Anderson
Internet outubro,10/10/2025,364.69,expense,Internet
Apartamento outubro,10/10/2025,2469.15,expense,Apartamento
Pizzas amt 30/10,10/10/2025,284.00,income,Gastos diversos
Salário outubro,10/10/2025,4470.73,income,Salário
Lanche AMT 15/10,10/10/2025,224.00,income,Gastos diversos
Empréstimo Lucas,10/10/2025,150.00,expense,Gastos diversos
Mercado pago outubro,10/10/2025,270.00,expense,Gastos diversos
Cartões outubro,10/10/2025,2484.75,expense,Cartão
Parcela mãe/michelle novembro,10/11/2025,1292.42,income,Empréstimos Mãe/Michelle
Parcela novembro Helena 1,10/11/2025,3798.00,income,Helena
Internet novembro,10/11/2025,588.95,expense,Internet
Cartões novembro,10/11/2025,4046.58,expense,Cartão
Cortes cabelo novembro,10/11/2025,80.00,expense,Gastos diversos
Parcela Anderson novembro,10/11/2025,980.12,income,Empréstimos Anderson
Salário novembro,10/11/2025,4739.45,income,Salário
Parcela Apartamento novembro,10/11/2025,1473.92,expense,Apartamento
Parcela morar novembro,10/11/2025,989.83,expense,Apartamento
Lanches AMT novembro,10/11/2025,60.00,expense,Gastos diversos
Rendimentos Picpay novembro,10/11/2025,87.97,income,Rendimentos Picpay
Dividendos Ações novembro,10/11/2025,103.77,income,Dividendos de Ações
